"motif_frequency","count"
1,14.2528812271
2,11.369851544
3,10.2425635393
4,9.21979553075
5,8.25322764558
6,7.66809370908
7,7.18462915272
8,6.72862861308
9,6.23244801655
10,5.84354441703
11,5.44673737167
12,5.1059454739
13,4.66343909411
14,4.5747109785
15,4.04305126783
16,3.87120101091
17,3.63758615973
18,3.36729582999
19,3.33220451018
20,2.83321334406
21,2.94443897917
22,1.79175946923
23,2.07944154168
24,1.94591014906
25,2.07944154168
26,1.94591014906
27,1.38629436112
28,0.69314718056
29,1.60943791243
30,1.09861228867
31,2.07944154168
32,1.60943791243
33,1.38629436112
34,1.79175946923
35,0.0
36,0.69314718056
37,1.09861228867
38,1.38629436112
39,0.69314718056
40,1.09861228867
42,0.69314718056
43,1.38629436112
45,0.0
47,0.0
48,1.09861228867
49,0.69314718056
51,0.0
52,0.0
53,1.38629436112
54,0.0
58,0.69314718056
59,0.0
60,0.69314718056
64,0.0
65,0.0
68,0.0
146,0.0
117,0.0
125,0.0
